lemma,gender,declension,gs,gs_other
parqe/nos,feminine,2.0,parqe/nou,
*maria/m,feminine,3.0,*maria/m,*maria/m
a)spasmo/s,masculine,2.0,a)spasmou=,
*)iakw/b,masculine,3.0,*)iakw/b,
suggeni/s,feminine,3.0,,
gh=ras,neuter,3.0,gh/rws,gh/rei
r(h=ma,neuter,3.0,r(h/matos,
dou/lh,feminine,1.0,dou/lhs,
spoudh/,feminine,1.0,spoudh=s,
*mari/a,feminine,1.0,*mari/as,
bre/fos,neuter,3.0,bre/fous,
telei/wsis,feminine,3.0,,
swth/r,masculine,3.0,swth=ros,
tapei/nwsis,feminine,3.0,tapeinw/sews,
genea/,feminine,1.0,genea=s,
e)/leos,neuter,3.0,e)le/ous,
braxi/wn,masculine,3.0,braxi/onos,
dia/noia,feminine,1.0,dianoi/as,
duna/sths,masculine,1.0,duna/stou,
pai=s,masculine,3.0,paido/s,
*)abraa/m,masculine,3.0,*)abraa/m,
paidi/on,neuter,2.0,paidi/ou,
sugge/neia,feminine,1.0,suggenei/as,
pinaki/dion,neuter,2.0,pinakidi/ou,pinaki/dion
lu/trwsis,feminine,3.0,lutrw/sews,
o(/rkos,masculine,2.0,o(/rkou,
o(sio/ths,feminine,3.0,o(sio/thtos,o(sio/thti
gnw=sis,feminine,3.0,gnw/sews,
a)/fesis,feminine,3.0,a)fe/sews,"a)fe/sei, a)/fesin"
spla/gxnon,neuter,2.0,spla/gxnou,"spla/gxna, spla/gxnois"
sko/tos,neuter,3.0,sko/tous,
skia/,feminine,1.0,skia=s,
a)na/deicis,feminine,3.0,a)nadei/cews,
do/gma,neuter,3.0,do/gmatos,"do/gmata, dogma/twn, do/gmasi(n)"
*kai=sar,masculine,3.0,*kai/saros,
*au)gou=stos,masculine,2.0,*au)gou/stou,
a)pografh/,feminine,1.0,a)pografh=s,
*suri/a,feminine,1.0,*suri/as,
*kurh/nios,masculine,2.0,*kurhni/ou,
*bhqle/em,feminine,3.0,*bhqle/em,
patria/,feminine,1.0,patria=s,
fa/tnh,feminine,1.0,fa/tnhs,
kata/luma,neuter,3.0,katalu/matos,katalu/mati
poimh/n,masculine,3.0,poime/nos,
xw/ra,feminine,1.0,xw/ras,
poi/mnh,feminine,1.0,poi/mnhs,
stratia/,feminine,1.0,stratia=s,
eu)doki/a,feminine,1.0,eu)doki/as,
kaqarismo/s,masculine,2.0,kaqarismou=,
no/mos,masculine,2.0,no/mou,
*(ieroso/luma,neuter,2.0,*(ierosolu/mwn,"*(ieroso/luma, *(ierosolu/mois, *(ierosolu/mwn"
mh/tra,feminine,1.0,mh/tras,
qusi/a,feminine,1.0,qusi/as,
zeu=gos,neuter,3.0,zeu/gous,"zeu=gos, zeu/gh"
trugw/n,feminine,3.0,trugo/nos,trugo/nwn
nosso/s,masculine,2.0,nossou=,nossou/s
peristera/,feminine,1.0,peristera=s,"peristerw=n, peristera/n, peristera/s, peristerai/"
para/klhsis,feminine,3.0,paraklh/sews,
goneu/s,masculine,3.0,gone/ws,"gonei=s, gone/wn, goneu=si(n)"
a)gka/lh,feminine,1.0,a)gka/lhs,a)gka/las
ptw=sis,feminine,3.0,ptw/sews,
dialogismo/s,masculine,2.0,dialogismou=,
*(/anna,feminine,1.0,,
*fanouh/l,masculine,3.0,*fanouh/l,
parqeni/a,feminine,1.0,parqeni/as,
nhstei/a,feminine,1.0,nhstei/as,
e(orth/,feminine,1.0,e(orth=s,
pa/sxa,neuter,3.0,pa/sxa,
sunodi/a,feminine,1.0,sunodi/as,sunodi/a|
