Lemma,POS,genitive_singular
Μαθθαῖος,noun,Μαθθαίου
Μαθθίας,noun,Μαθθίου
μακαρισμός,noun,μακαρισμοῦ
μάκελλον,noun,μακέλλου
μαλακία,noun,μαλακίας
μάμμη,noun,μάμμης
μανία,noun,μανίας
μαστός,noun,μαστοῦ
ματαιολογία,noun,ματαιολογίας
μάχη,noun,μάχης
μεγιστάν,noun,μεγιστᾶνος
μέθη,noun,μέθης
μεθοδεία,noun,μεθοδείας
μέθυσος,noun,μεθύσου
μέλι,noun,μέλιτος
μέλος,noun,μέλους
μεμβράνα,noun,μεμβράνας
μέριμνα,noun,μερίμνας
μεριστής,noun,μεριστοῦ
μεσημβρία,noun,μεσημβρίας
Μεσοποταμία,noun,Μεσοποταμίας
μεσότοιχον,noun,μεσοτοίχου
μεσουράνημα,noun,μεσουρανήματος
Μεσσίας,noun,Μεσσίου
μετάλημψις,noun,μεταλήμψεως
μετρητής,noun,μετρητοῦ
Μῆδος,noun,Μήδου
μηλωτή,noun,μηλωτῆς
μήν,noun,μηνός
μηρός,noun,μηροῦ
μητρολῴας,noun,μητρολῴου
μίασμα,noun,μιάσματος
μίγμα,noun,μίγματος
μίλιον,noun,μιλίου
μιμητής,noun,μιμητοῦ
μισθαποδοσία,noun,μισθαποδοσίας
μίσθωμα,noun,μισθώματος
Μιτυλήνη,noun,Μιτυλήνης
Μνάσων,noun,Μνάσωνος
μνεία,noun,μνείας
μνῆμα,noun,μνήματος
μνήμη,noun,μνήμης
μνημόσυνον,noun,μνημοσύνου
μόδιος,noun,μοδίου
μοιχεία,noun,μοιχείας
μοιχός,noun,μοιχοῦ
μομφή,noun,μομφῆς
μονή,noun,μονῆς
μορφή,noun,μορφῆς
μόρφωσις,noun,μορφώσεως
μόσχος,noun,μόσχου
μόχθος,noun,μόχθου
μυελός,noun,μυελοῦ
μῦθος,noun,μύθου
μυριάς,noun,μυριάδος
Μυσία,noun,Μυσίας
μώλωψ,noun,μώλωπος
μῶμος,noun,μώμου
ναύκληρος,noun,ναυκλήρου
ναύτης,noun,ναύτου
νεανίσκος,noun,νεανίσκου
νέκρωσις,noun,νεκρώσεως
νέφος,noun,νέφους
νεφρός,noun,νεφροῦ
νεωκόρος,noun,νεωκόρου
Νηρεύς,noun,Νηρέως
νησίον,noun,νησίου
νηστεία,noun,νηστείας
Νικάνωρ,noun,Νικάνορος
Νικολαΐτης,noun,Νικολαΐτου
Νικόλαος,noun,Νικολάου
Νικόπολις,noun,Νικοπόλεως
νῖκος,noun,νίκους
Νινευίτης,noun,Νινευίτου
νιπτήρ,noun,νιπτῆρος
νόημα,noun,νοήματος
νομή,noun,νομῆς
νόμισμα,noun,νομίσματος
νομοδιδάσκαλος,noun,νομοδιδασκάλου
νόσος,noun,νόσου
νοσσία,noun,νοσσίας
νοσσίον,noun,νοσσίου
νοσσός,noun,νοσσοῦ
νουθεσία,noun,νουθεσίας
Νύμφας,noun,Νύμφου
νυχθήμερον,noun,νυχθημέρου
ξενία,noun,ξενίας
ξέστης,noun,ξέστου
ὄγκος,noun,ὄγκου
ὀδύνη,noun,ὀδύνης
ὀδυρμός,noun,ὀδυρμοῦ
Ὀζίας,noun,Ὀζίου
ὀθόνη,noun,ὀθόνης
ὀθόνιον,noun,ὀθονίου
οἰκέτης,noun,οἰκέτου
οἴκημα,noun,οἰκήματος
οἰκητήριον,noun,οἰκητηρίου
οἰκιακός,noun,οἰκιακοῦ
οἰκοδόμος,noun,οἰκοδόμου
οἰκονόμος,noun,οἰκονόμου
οἰνοφλυγία,noun,οἰνοφλυγίας
ὀλιγοπιστία,noun,ὀλιγοπιστίας
ὁλοκαύτωμα,noun,ὁλοκαυτώματος
ὁλοκληρία,noun,ὁλοκληρίας
Ὀλυμπᾶς,noun,Ὀλυμπᾶ
ὄλυνθος,noun,ὀλύνθου
ὁμιλία,noun,ὁμιλίας
ὁμίχλη,noun,ὁμίχλης
ὄμμα,noun,ὄμματος
ὁμοιότης,noun,ὁμοιότητος
ὁμοίωμα,noun,ὁμοιώματος
ὁμοίωσις,noun,ὁμοιώσεως
ὄναρ,noun,ὀνείρου
ὀνάριον,noun,ὀναρίου
ὀνειδισμός,noun,ὀνειδισμοῦ
Ὀνήσιμος,noun,Ὀνησίμου
ὀπτασία,noun,ὀπτασίας
ὀργυιά,noun,ὀργυιάς
ὅρμημα,noun,ὁρμήματος
ὁροθεσία,noun,ὁροθεσίας
ὁσιότης,noun,ὁσιότητος
ὀστέον,noun,ὀστέου
οὐρά,noun,οὐράς
Οὐρβανός,noun,Οὐρβανοῦ
ὀφειλέτης,noun,ὀφειλέτου
ὀφειλή,noun,ὀφειλῆς
ὀφείλημα,noun,ὀφειλήματος
ὀφθαλμοδουλία,noun,ὀφθαλμοδουλίας
ὀχύρωμα,noun,ὀχυρώματος
ὀψάριον,noun,ὀψαρίου
ὀψώνιον,noun,ὀψωνίου
πάθημα,noun,παθήματος
πάθος,noun,πάθους
παιδαγωγός,noun,παιδαγωγοῦ
παιδευτής,noun,παιδευτοῦ
παλαιότης,noun,παλαιότητος
πανδοχεῖον,noun,πανδοχείου
πανδοχεύς,noun,πανδοχέως
πανήγυρις,noun,πανηγύρεως
πανοπλία,noun,πανοπλίας
πανουργία,noun,πανουργίας
παραβάτης,noun,παραβάτου
παράδεισος,noun,παραδείσου
