Lemma,POS,future_active,aorist_active,perfect_active,perfect_middle,future_passive
χορτάζω,verb,,ἐχόρτασα,,,χορτασθήσομαι
χράω,verb,,ἔχρησα,,,
χρηματίζω,verb,χρηματίσω,ἐχρημάτισα,,κεχρημάτισμαι,χρηματισθήσομαι
χρίω,verb,,ἔχρισα,,,
χρονίζω,verb,χρονίσω,,,,
χρονοτριβέω,verb,,ἐχρονοτρίβησα,,,
χρυσόω,verb,,,,κεχρύσωμαι,
χωρέω,verb,χωρήσω,ἐχώρησα,,,
χωρίζω,verb,χωρίσω,ἐχώρισα,,κεχώρισμαι,χωρισθήσομαι
ψευδομαρτυρέω,verb,ψευδομαρτυρήσω,ἐψευδομαρτύρησα,,,
ψεύδω,verb,,ἔψευσα,,,
ψηλαφάω,verb,,ἐψηλάφησα,,,
ψηφίζω,verb,,ἐψήφισα,,,
ψύχω,verb,,,,,ψυγήσομαι
ψωμίζω,verb,,ἐψώμισα,,,
ὠνέομαι,verb,,ὠνησάμην,,,
ὠφελέω,verb,,ὠφέλησα,,,ὠφεληθήσομαι
