lemma,gender,distant_determiner
*la/zaros,masculine,n
tra/peza,feminine,n
ba/sanos,feminine,n
a)/kron,neuter,n
xa/sma,neuter,n
suka/minos,feminine,n
*sama/reia,feminine,n
parath/rhsis,feminine,n
kataklusmo/s,masculine,n
*lw/t,masculine,n
e)kdi/khsis,feminine,n
moixo/s,masculine,n
neo/ths,feminine,n
xrh=ma,neuter,n
ka/mhlos,feminine,y
trh=ma,neuter,n
belo/nh,feminine,n
*nazwrai=os,masculine,n
ai)=nos,masculine,n
*zakxai=os,masculine,n
a)rxitelw/nhs,masculine,n
sukomore/a,feminine,n
mna=,feminine,n
souda/rion,neuter,n
to/kos,masculine,n
*bhqfagh/,feminine,n
*bhqani/a,feminine,n
pw=los,masculine,n
kata/basis,feminine,n
xa/rac,masculine,n
e)piskoph/,feminine,n
gewrgo/s,masculine,n
klhrono/mos,masculine,n
h(gemw/n,masculine,n
fo/ros,masculine,n
panourgi/a,feminine,n
e)pigrafh/,feminine,n
*saddoukai=os,masculine,n
yalmo/s,masculine,n
u(popo/dion,neuter,n
pro/fasis,feminine,n
gazofula/kion,neuter,n
u(ste/rhma,neuter,n
a)na/qema,neuter,n
a)katastasi/a,feminine,n
loimo/s,masculine,n
fo/bhtron,neuter,n
strato/pedon,neuter,n
e)rh/mwsis,feminine,n
a)/stron,neuter,n
sunoxh/,feminine,n
a)pori/a,feminine,n
h)=xos,neuter,n
sa/los,masculine,n
prosdoki/a,feminine,n
a)polu/trwsis,feminine,n
qe/ros,neuter,n
kraipa/lh,feminine,n
me/qh,feminine,n
pagi/s,feminine,n
*)iskariw/ths,masculine,n
strathgo/s,masculine,n
eu)kairi/a,feminine,n
kera/mion,neuter,n
a)na/gaion,neuter,n
ge/nhma,neuter,n
a)na/mnhsis,feminine,n
filoneiki/a,feminine,n
eu)erge/ths,masculine,n
a)le/ktwr,masculine,n
bolh/,feminine,n
a)gwni/a,feminine,n
i(drw/s,masculine,n
qro/mbos,masculine,n
lu/ph,feminine,n
w)ti/on,neuter,n
presbute/rion,neuter,n
sune/drion,neuter,n
e)sqh/s,feminine,n
e)/xqra,feminine,n
*barabba=s,masculine,n
sta/sis,feminine,n
ai)/thma,neuter,n
*kurhnai=os,masculine,n
krani/on,neuter,n
klh=ros,masculine,n
o)/cos,neuter,n
katape/tasma,neuter,n
qewri/a,feminine,n
bouleuth/s,masculine,n
pra=cis,feminine,n
*(arimaqai/a,feminine,n
sindw/n,feminine,n
paraskeuh/,feminine,n
a)/rwma,neuter,n
o)/rqros,masculine,n
lh=ros,masculine,n
o)qo/nion,neuter,n
*)emmaou=s,feminine,n
*kleopa=s,masculine,n
e(spe/ra,feminine,n
kla/sis,feminine,n
o)ste/on,neuter,n
e)paggeli/a,feminine,n
*pau=los,masculine,y
*swsqe/nhs,masculine,n
*ko/rinqos,feminine,n
xa/risma,neuter,n
koinwni/a,feminine,n
sxi/sma,neuter,n
*xlo/h,feminine,n
e)/ris,feminine,n
*)apollw=s,masculine,n
*khfa=s,masculine,n
*kri/spos,masculine,n
*ga/i+os,masculine,n
*stefana=s,masculine,n
mwri/a,feminine,n
suzhthth/s,masculine,n
*(/ellhn,masculine,n
klh=sis,feminine,n
a(giasmo/s,masculine,n
u(peroxh/,feminine,n
tro/mos,masculine,n
a)po/deicis,feminine,n
ga/la,neuter,n
zh=los,masculine,n
dia/konos,masculine,n
gew/rgion,neuter,n
oi)kodomh/,feminine,y
a)rxite/ktwn,masculine,n
kala/mh,feminine,n
e)/painos,masculine,n
qe/atron,neuter,n
perika/qarma,neuter,n
peri/yhma,neuter,n
paidagwgo/s,masculine,n
mimhth/s,masculine,n
*timo/qeos,masculine,n
prau/+ths,feminine,n
o)/leqros,masculine,n
kau/xhma,neuter,n
fu/rama,neuter,n
kaki/a,feminine,n
ei)likri/neia,feminine,n
e)pistolh/,feminine,n
pleone/kths,masculine,n
loi/doros,masculine,n
me/qusos,masculine,n
krith/rion,neuter,n
e)ntroph/,feminine,n
h(/tthma,neuter,n
a)rsenokoi/ths,masculine,n
me/los,neuter,n
a(ma/rthma,neuter,n
o)feilh/,feminine,n
a)krasi/a,feminine,n
suggnw/mh,feminine,n
e)pitagh/,feminine,n
a)/gamos,masculine,n
a)/gamos,feminine,n
a)krobusti/a,feminine,n
