lemma_id,lemma_text,lemma_short_def
661,a)qume/w,"to be disheartened, lose heart"
662,a)qumhte/on,one must lose heart
663,a)qumi/a,"want of heart, faintheartedness"
664,a)/qumos,"without heart, fainthearted"
665,a)/qurma,"a plaything, toy: a delight, joy"
666,a)quro/glwttos,"one that cannot keep his mouth shut, a ceaseless babbler"
667,a)/quros,without door
668,a)qurostomi/a,
670,a)/qursos,without thyrsus
671,a)qu/rw,"to play, sport"
672,a)qu/rwtos,never closed
673,a)/qutos,not offered
674,*)/aqw|os,of mount Athos
676,a)qw/peutos,"not flattered, without flattery"
677,a)qwra/kistos,without breastplate
678,*)/aqws,mount Athos
679,ai)/agma,a wail
680,ai)a/zw,to cry
681,ai)ai=,ah!
682,*ai)aki/dhs,son of Aeacus
683,ai)akto/s,"bewailed, lamentable"
684,ai)anh/s,"dreary, dismal, direful, horrid"
685,ai)=a,
686,*ai)/as,Ajax
687,ai)boi=,bah!
688,ai)/gagros,the wild goat
689,*ai)gai=os,Aegaean
690,*ai)gai/wn,Aegaeon
692,*ai)/geios,of Aegeus
693,ai)/geios,of a goat
694,ai)/geiros,the poplar
695,ai)gela/ths,a goatherd
696,ai)/geos,a goat's skin
697,ai)giali/ths,one who haunts the shore
700,ai)gibo/ths,feeding goats
701,ai)gi/botos,browsed by goats
702,ai)gi/qallos,the titmouse
704,ai)gikorei=s,goatherds
705,ai)gi/liy,destitute even of goats
706,ai)/gilos,a herb of which goats are fond
707,*ai)ginai/h,Aegina
708,*ai)ginai=os,of Aegina
709,*ai)/gina,Aegina
710,*ai)ginh/ths,an Aeginetan
711,ai)ginomeu/s,a goatherd
712,ai)gi/nomos,browsed by goats
713,ai)gino/mos,feeding goats
716,ai)gi/pous,
717,ai)gi/puros,a plant
718,ai)gi/s,the aegis
719,ai)glh/eis,"dazzling, radiant, lustrous"
720,ai)/glh,"the light of the sun, radiance"
721,ai)glofanh/s,radiant
723,ai)go/nuc,
724,ai)gopo/dhs,
726,ai)gupio/s,a vulture
727,*ai)guptia/zw,to speak Egyptian
728,*ai)guptiako/s,of
729,*ai)gu/ptios,Egyptian
730,*ai)guptisti/,in the Egyptian tongue
